datetime,lot1_bikein,lot1_bikeout,lot1_peoplein,lot1_peopleout,lot2_bikein,lot2_bikeout,lot2_peoplein,lot2_peopleout
2021-02-05 10:00,0,0,0,0,,,,
2021-02-05 11:00,0,0,0,0,,,,
2021-02-05 12:00,0,0,383,320,,,,
2021-02-05 13:00,0,0,71,48,,,,
2021-02-05 14:00,0,0,80,60,,,,
2021-02-05 15:00,0,0,50,48,,,,
2021-02-05 16:00,0,0,26,52,,,,
2021-02-05 17:00,0,0,0,0,,,,
2021-02-05 18:00,0,0,0,0,,,,
2021-02-05 19:00,0,0,0,0,,,,
2021-02-05 20:00,0,0,0,0,,,,
2021-02-05 21:00,0,0,0,0,,,,
2021-02-05 22:00,0,0,0,0,,,,
2021-02-05 23:00,0,0,0,0,,,,
2021-02-06 00:00,0,0,0,0,,,,
2021-02-06 01:00,0,0,0,0,,,,
2021-02-06 02:00,0,0,0,0,,,,
2021-02-06 03:00,0,0,0,0,,,,
2021-02-06 04:00,0,0,0,0,,,,
2021-02-06 05:00,0,0,0,0,,,,
2021-02-06 06:00,0,0,0,0,,,,
2021-02-06 07:00,0,0,0,0,,,,
2021-02-06 08:00,0,0,0,0,,,,
2021-02-06 09:00,0,0,69,15,,,,
2021-02-06 10:00,0,0,117,92,,,,
2021-02-06 11:00,0,0,112,90,,,,
2021-02-06 12:00,0,0,126,119,,,,
2021-02-06 13:00,1,0,169,144,,,,
2021-02-06 14:00,0,0,139,138,,,,
2021-02-06 15:00,0,0,102,106,,,,
2021-02-06 16:00,0,0,75,126,,,,
2021-02-06 17:00,0,0,0,0,,,,
2021-02-06 18:00,0,0,0,0,,,,
2021-02-06 19:00,0,0,0,0,,,,
2021-02-06 20:00,0,0,0,0,,,,
2021-02-06 21:00,0,0,0,0,,,,
2021-02-06 22:00,0,0,0,0,,,,
2021-02-06 23:00,0,0,0,0,,,,
2021-02-07 00:00,0,0,0,0,,,,
2021-02-07 01:00,0,0,0,0,,,,
2021-02-07 02:00,0,0,0,0,,,,
2021-02-07 03:00,0,0,0,0,,,,
2021-02-07 04:00,0,0,0,0,,,,
2021-02-07 05:00,0,0,0,0,,,,
2021-02-07 06:00,0,0,1,0,,,,
2021-02-07 07:00,0,0,1,2,,,,
2021-02-07 08:00,0,0,0,0,,,,
2021-02-07 09:00,0,0,38,27,,,,
2021-02-07 10:00,0,0,80,44,,,,
2021-02-07 11:00,0,0,134,84,,,,
2021-02-07 12:00,0,0,104,92,,,,
2021-02-07 13:00,0,0,126,97,,,,
2021-02-07 14:00,0,0,111,149,,,,
2021-02-07 15:00,0,0,37,61,,,,
2021-02-07 16:00,0,0,22,31,,,,
2021-02-07 17:00,0,0,0,0,,,,
2021-02-07 18:00,0,0,0,0,,,,
2021-02-07 19:00,0,0,0,0,,,,
2021-02-07 20:00,0,0,0,0,,,,
2021-02-07 21:00,0,0,0,0,,,,
2021-02-07 22:00,0,0,0,0,,,,
2021-02-07 23:00,0,0,0,0,,,,
2021-02-08 00:00,0,0,0,0,,,,
2021-02-08 01:00,0,0,0,0,,,,
2021-02-08 02:00,0,0,0,0,,,,
2021-02-08 03:00,0,0,0,0,,,,
2021-02-08 04:00,0,0,0,0,,,,
2021-02-08 05:00,0,0,0,0,,,,
2021-02-08 06:00,0,0,0,0,,,,
2021-02-08 07:00,0,0,0,0,,,,
2021-02-08 08:00,0,0,0,0,,,,
2021-02-08 09:00,0,0,3,0,,,,
2021-02-08 10:00,0,0,21,9,,,,
2021-02-08 11:00,0,0,45,14,,,,
2021-02-08 12:00,0,0,70,25,,,,
2021-02-08 13:00,0,0,79,53,,,,
2021-02-08 14:00,0,0,93,102,,,,
2021-02-08 15:00,0,0,54,93,,,,
2021-02-08 16:00,0,0,27,45,,,,
2021-02-08 17:00,0,0,0,0,,,,
2021-02-08 18:00,0,0,0,0,,,,
2021-02-08 19:00,0,0,0,0,,,,
2021-02-08 20:00,0,0,0,0,,,,
2021-02-08 21:00,0,0,0,0,,,,
2021-02-08 22:00,0,0,0,0,,,,
2021-02-08 23:00,0,0,0,0,,,,
2021-02-09 00:00,0,0,0,0,,,,
2021-02-09 01:00,0,0,0,0,,,,
2021-02-09 02:00,0,0,0,0,,,,
2021-02-09 03:00,0,0,0,0,,,,
2021-02-09 04:00,0,0,0,0,,,,
2021-02-09 05:00,0,0,0,0,,,,
2021-02-09 06:00,0,0,0,0,,,,
2021-02-09 07:00,0,0,0,0,,,,
2021-02-09 08:00,0,0,0,0,,,,
2021-02-09 09:00,0,0,6,1,,,,
2021-02-09 10:00,0,0,11,6,,,,
2021-02-09 11:00,0,0,20,16,,,,
2021-02-09 12:00,0,0,18,6,,,,
2021-02-09 13:00,0,0,47,18,,,,
2021-02-09 14:00,0,0,75,39,,,,
2021-02-09 15:00,0,0,62,81,,,,
2021-02-09 16:00,0,0,16,61,,,,
2021-02-09 17:00,0,0,0,0,,,,
2021-02-09 18:00,0,0,0,0,,,,
2021-02-09 19:00,0,0,0,0,,,,
2021-02-09 20:00,0,0,0,0,,,,
2021-02-09 21:00,0,0,0,0,,,,
2021-02-09 22:00,0,0,0,0,,,,
2021-02-09 23:00,0,0,0,0,,,,
2021-02-10 00:00,0,0,0,0,,,,
2021-02-10 01:00,0,0,0,0,,,,
2021-02-10 02:00,0,0,0,0,,,,
2021-02-10 03:00,0,0,0,0,,,,
2021-02-10 04:00,0,0,0,0,,,,
2021-02-10 05:00,0,0,0,0,,,,
2021-02-10 06:00,0,0,0,0,,,,
2021-02-10 07:00,0,0,0,0,,,,
2021-02-10 08:00,0,0,5,4,,,,
2021-02-10 09:00,0,0,12,7,,,,
2021-02-10 10:00,0,0,15,7,,,,
2021-02-10 11:00,0,0,23,13,,,,
2021-02-10 12:00,0,0,26,28,,,,
2021-02-10 13:00,0,0,62,26,,,,
2021-02-10 14:00,0,0,74,53,,,,
2021-02-10 15:00,0,0,61,50,,,,
2021-02-10 16:00,0,0,17,53,,,,
2021-02-10 17:00,0,0,0,0,,,,
2021-02-10 18:00,0,0,0,0,,,,
