dow,lot,med_n,mean_n,n,var
Monday,Lot 1,681.9975,755.8273205741627,418,369.543976416871
Monday,Lot 2,111.125,159.57200211864406,472,151.59918593614935
Tuesday,Lot 1,550.035,643.978843373494,415,340.6899702262886
Tuesday,Lot 2,86.995,117.95292811839323,473,103.77343108825866
Wednesday,Lot 1,577.575,645.4980656934307,411,346.36767090269007
Wednesday,Lot 2,86.995,118.47266454352442,471,103.20238917613148
Thursday,Lot 1,591.345,665.5238780487805,410,332.185146934245
Thursday,Lot 2,87.63,119.38,472,104.03854820921885
Friday,Lot 1,756.2025000000001,807.365625,408,374.8439892666687
Friday,Lot 2,116.84,155.21038709677418,465,127.59367068334139
Saturday,Lot 1,1235.0925,1251.0573214285714,420,349.4561232342321
Saturday,Lot 2,337.185,361.67650319829426,469,187.02104484434187
Sunday,Lot 1,1247.3325,1240.6150714285714,420,343.9554714292659
Sunday,Lot 2,354.33000000000004,378.23667372881357,472,196.42441834626976
